timestamp,usedPEs,jobsRunning,JobsInLongQueue,JobsInMediumQueue
1.399705797E9,254,6,0,0
1.39970939825E9,254,6,0,0
1.3997129995E9,254,6,0,0
1.39971660075E9,254,6,0,0
1.399720202E9,254,6,0,0
1.39972380325E9,254,6,0,0
1.3997274045E9,254,6,0,0
1.39973101625E9,254,6,0,0
1.39973461725E9,254,6,0,0
1.39973822325E9,350,8,0,0
1.39974182625E9,350,8,0,0
1.39974543525E9,350,8,0,0
1.39974903925E9,350,8,0,0
1.39975264125E9,350,8,0,0
1.39975626825E9,350,8,0,0
1.39975987425E9,350,8,0,0
1.39976348625E9,302,7,0,0
1.39976709325E9,302,7,0,0
1.39977073025E9,302,7,0,0
1.39977433425E9,302,7,0,0
1.39977795925E9,254,6,0,0
1.39978156025E9,254,6,0,0
1.39978520325E9,254,6,0,0
1.39978882025E9,254,6,0,0
1.39979243225E9,254,6,0,0
1.39979604225E9,194,5,0,0
1.39979965525E9,194,5,0,0
1.39980326325E9,194,5,0,0
1.39980687125E9,194,5,0,0
1.39981047725E9,194,5,0,0
1.39981409625E9,194,5,0,0
1.39981769725E9,194,5,0,0
1.39982133325E9,338,8,0,0
1.39982494225E9,338,8,0,0
1.39982855625E9,338,8,0,0
1.39983216925E9,350,9,0,0
1.39983581525E9,350,9,0,0
1.3998394245E9,350,9,0,0
1.39984303575E9,314,8,0,0
1.39984663825E9,302,7,0,0
1.399850289E9,302,7,0,0
1.39985389625E9,302,7,0,0
1.3998575425E9,302,7,0,0
1.39986115225E9,302,7,0,0
1.399864759E9,302,7,0,0
1.3998683745E9,302,7,0,0
1.39987198825E9,302,7,0,0
1.39987559025E9,302,7,0,0
1.39987920175E9,302,7,0,0
1.39988280325E9,302,7,0,0
1.39988640525E9,302,7,0,0
1.39989002625E9,302,7,0,0
1.39989365525E9,302,7,0,0
1.39989725925E9,302,7,0,0
1.39990086125E9,302,7,0,0
1.39990448625E9,302,7,0,0
1.39990809625E9,241,6,0,0
1.39991170525E9,241,6,0,0
1.39991532525E9,193,5,0,0
1.39991892925E9,193,5,0,0
1.39992253025E9,193,5,0,0
1.39992614525E9,157,5,0,0
1.39992974925E9,181,6,0,0
1.39993337225E9,181,6,0,0
1.39993698725E9,181,6,0,0
1.39994061625E9,205,7,0,0
1.39994422225E9,181,6,0,0
1.39994789025E9,169,5,0,0
1.39995150025E9,217,7,0,0
1.39995513225E9,193,6,0,0
1.39995875525E9,193,6,0,0
1.39996239225E9,145,4,0,0
1.39996602525E9,145,4,0,0
1.39996965925E9,145,4,0,0
1.39997334025E9,145,4,0,0
1.39997696425E9,145,4,0,0
1.39998060925E9,205,7,0,0
1.39998423325E9,265,11,0,0
1.39998783725E9,265,11,0,0
1.39999146725E9,265,11,0,0
1.39999507225E9,229,9,0,0
1.39999867625E9,229,9,0,0
1.40000227725E9,229,9,0,0
1.40000587925E9,229,8,0,0
1.40000948525E9,229,8,0,0
1.40001309525E9,217,8,0,0
1.40001670125E9,229,9,0,0
1.40002030925E9,229,9,0,0
1.40002392325E9,229,9,0,0
1.40002753325E9,229,9,0,0
1.40003115025E9,217,8,0,0
1.40003475325E9,217,8,0,0
1.40003835725E9,277,11,0,0
1.40004196525E9,277,11,0,0
1.40004556825E9,325,12,0,0
1.40004918425E9,301,11,0,0
1.40005279225E9,301,11,0,0
1.40005639425E9,217,8,0,0
1.40006000325E9,217,8,0,0
1.40006363325E9,265,12,0,0
1.40006723425E9,326,13,0,0
1.40007083825E9,386,15,0,0
1.40007444725E9,386,15,0,0
1.40007805225E9,386,15,0,0
1.40008165425E9,386,15,0,0
1.40008529525E9,386,15,0,0
1.40008891025E9,398,16,0,0
1.40009251725E9,410,17,0,0
1.40009616225E9,434,18,0,0
1.40009977525E9,422,17,0,0
1.40010341025E9,422,17,2,0
1.40010702225E9,422,17,2,0
1.40011063125E9,422,17,2,0
1.40011423725E9,422,17,2,0
1.40011786725E9,422,17,2,0
1.40012148825E9,422,17,2,0
1.40012510525E9,422,17,2,0
1.40012875725E9,422,17,2,0
1.40013241325E9,422,17,2,0
1.40013602725E9,422,17,2,0
1.40013968725E9,422,17,1,0
1.40014330925E9,422,17,1,0
1.40014692025E9,374,16,0,0
